Kecamatan,Nama Tempat Wisata,Koordinat,Kategori,Bintang,Harga Tiket,Jam Buka,Jam Tutup,PlusCode
KARAWANG BARAT,VIHARA SIAN DJIN KUPOH,"-6.275832390430338, 107.26703775092568",Agama,4.7,0,00:00:00,00:00:00,"P7F8+MR Tanjungmekar, Karawang, Jawa Barat"
KARAWANG BARAT,MASJID AGUNG KARAWANG,"-6.310461431914421, 107.29241073558204",Agama,4.7,0,00:00:00,00:00:00,"M7QR+RX7, Jl. Alun-Alun Sel. Barat, Karawang Kulon, Kec. Karawang Bar., Karawang, Jawa Barat 41311"
TEGALWARU,CURUG CIKOLEANGKAK,"-6.550484629397554, 107.26298050674613",Alam,5.0,5000,08:00:00,17:00:00,"C7X7+R55, Unnamed Road, Cintalaksana, Tegalwaru, Karawang, West Java 41362"
TEGALWARU,BUKIT SANGGABUANA,"-6.591051990285004, 107.21754863019281",Alam,4.8,10000,00:00:00,00:00:00,"C658+MX Mekarbuana, Karawang, Jawa Barat"
PURWASARI,PEMANCINGAN PANCANGAN,"-6.1013285020934545, 107.44506786441794",Alam,4.7,15000,00:00:00,00:00:00,"VCXW+F2 Pusakajaya Utara, Karawang, Jawa Barat"
PANGKALAN,CURUG CILALAY,"-6.578046512692673, 107.19519286441793",Alam,4.6,10000,00:00:00,00:00:00,"C5CW+Q3 Mekarbuana, Karawang, Jawa Barat"
TEGALWARU,CURUG PANGANTEN,"-6.579203487270596, 107.19593213558204",Alam,4.6,10000,07:00:00,16:30:00,"C5CW+89 Mekarbuana, Karawang, Jawa Barat"
TEGALWARU,PUNCAK SEMPUR,"-6.5414215115174725, 107.25480713558204",Alam,4.6,10000,00:00:00,00:00:00,"F753+CW Cintalaksana, Karawang, Jawa Barat"
CIKAMPEK,TAMAN HUTAN KOTA CIKAMPEK,"-6.417307169194462, 107.46241067791021",Alam,4.6,0,09:00:00,17:00:00,"HFM6+3X Cikampek Tim., Karawang, Jawa Barat"
TEGALWARU,CURUG CIPANUNDAAN,"-6.535921329552923, 107.26773113558204",Alam,4.5,30000,08:00:00,16:00:00,"F779+J3Q, kp.Tipar, Kutamaneuh, Kec. Tegalwaru, Karawang, Jawa Barat 41362"
PANGKALAN,AIR TERJUN GRAND CANYON,"-6.542775193642646, 107.17781786441796",Alam,4.4,50000,06:00:00,18:00:00,"F54H+V4 Medalsari, Karawang, Jawa Barat"
TEGALWARU,BATU TUMPANG/CURUG BANDUNG,"-6.5721391458299925, 107.23779242208977",Alam,4.4,10000,08:00:00,16:00:00,"C6HQ+542, Mekarbuana, Kec. Tegalwaru, Karawang, Jawa Barat 41362"
TEGALWARU,CURUG CIGEUNTIS,"-6.579671512744975, 107.23017140674614",Alam,4.4,20000,06:30:00,17:00:00,"C6CJ+43 Mekarbuana, Karawang, Jawa Barat"
BATUJAYA,PULO PUTRI,"-5.986839175799362, 107.17530713558205",Alam,4.4,5000,00:00:00,00:00:00,"257G+74, Segarjaya, Karawang, Jawa Barat 41354"
PANGKALAN,GOA DAYEUH,"-6.435274814322347, 107.21827096441795",Alam,4.3,5000,08:00:00,17:00:00,"H679+W82, Tamansari, Kec. Pangkalan, Karawang, Jawa Barat 41362"
CILAMAYA KULON,PANTAI PASIR PUTIH,"-6.176814166376974, 107.54458346441795",Alam,4.3,10000,00:00:00,00:00:00,"RGFV+7RP, Sukajaya, Kec. Cilamaya Kulon, Karawang, Jawa Barat 41384"
CIBUAYA,PANTAI PISANGAN,"-6.002267835008911, 107.37532372208977",Alam,4.3,0,00:00:00,00:00:00,"X9XG+34V, Cemarajaya, Kec. Cibuaya, Karawang, Jawa Barat 41356"
TEGALWARU,BUKIT KEMBAR PUNCAK PINUS,"-6.527992829637371, 107.25240669325386",Alam,4.2,10000,07:00:00,17:00:00,"F7C2+RX2, Cintawargi, Kec. Tegalwaru, Karawang, Jawa Barat 41362"
TEMPURAN,WISATA KEBON JATIDIPALA,"-6.173514333308518, 107.44289242208976",Alam,4.2,5000,08:00:00,17:30:00,"RCGV+H4 Sumberjaya, Karawang, Jawa Barat"
PEDES,PANTAI SAMUDRA BARU,"-6.051028503588939, 107.40781299325384",Alam,4.2,10000,00:00:00,00:00:00,"WCX5+H4V, Sungaibuntu, Kec. Pedes, Karawang, Jawa Barat 41353"
TEGALWARU,JEMBATAN CINTA,"-6.576546512644416, 107.22992140674613",Alam,4.1,15000,08:00:00,17:00:00,"C6FH+9X Mekarbuana, Karawang, Jawa Barat"
KLARI,POHON MIRING,"-6.373796506222193, 107.38719286441794",Alam,4.1,5000,08:00:00,23:00:00,"J9GP+FV Pancawati, Karawang, Jawa Barat"
CILAMAYA WETAN,HUTAN MANGROVE,"-5.993996494730811, 107.30025049325386",Alam,4.1,10000,08:00:00,17:00:00,"2842+93X, Sedari, Kec. Cibuaya, Karawang, Jawa Barat 41356"
PEDES,PANTAI PELANGI,"-6.039717834641127, 107.40451023558205",Alam,4.1,15000,07:00:00,18:00:00,"XC63+4R6, Sungaibuntu, Kec. Pedes, Karawang, Jawa Barat 41353"
CIBUAYA,WISATA MANGROVE SEDARI,"-5.9940071649103235, 107.30023976441795",Alam,4.1,7500,08:00:00,17:00:00,"2842+93X, Sedari, Kec. Cibuaya, Karawang, Jawa Barat 41356"
TELUKJAMBE TIMUR,WISATA ALAM KALIWUNGU,"-6.372133706170347, 107.28758816441795",Alam,4.1,5000,08:00:00,20:00:00,"J7HP+79, Sirnabaya, Telukjambe Timur, Karawang, Jawa Barat"
CIAMPEL,HUTAN KERTAS,"-6.362894531372603, 107.33162046441794",Alam,4.0,10000,10:00:00,22:00:00,"J8PJ+RJ Kutamekar, Karawang, Jawa Barat"
CIBUAYA,PANTAI ALAM BARU,"-6.02537143478228, 107.39331006441796",Alam,4.0,5000,00:00:00,00:00:00,"X9FV+V8 Cemarajaya, Karawang, Jawa Barat"
PAKISJAYA,PANTAI TANJUNG PAKIS,"-5.972932545597656, 107.12845749464796",Alam,4.0,10000,00:00:00,00:00:00,"Tanjungpakis, Kec. Pakisjaya, Karawang, Jawa Barat 41355"
CILEBAR,PANTAI MUTIARA,"-6.06606133438104, 107.417369864418",Alam,3.9,0,06:00:00,22:00:00,"WCM8+HW Pusakajaya Utara, Karawang, Jawa Barat"
PEDES,PANTAI JALASENA,"-6.060454113241429, 107.41401844232792",Alam,3.8,0,06:00:00,21:00:00,"Sungaibuntu, Kec. Pedes, Karawang, Jawa Barat 41353"
TEMPURAN,PANTAI CIBENDO,"-6.159101436717428, 107.49604837301632",Alam,3.7,10000,06:00:00,22:00:00,"Ciparagejaya, Kec. Tempuran, Karawang, Jawa Barat 41385"
CILAMAYA KULON,PANTAI TANJUNG BARU,"-6.170042816879503, 107.52281312698369",Alam,3.2,10000,00:00:00,00:00:00,"Laut Jawa, Karawang, Jawa Barat 41384"
CIAMPEL,SITUS KOTA TANDINGAN,"-6.51045381052889, 107.37897506441803",Budaya,5.0,0,00:00:00,00:00:00,"F9QH+RH9, Kutamanah, Kec. Sukasari, Kabupaten Purwakarta, Jawa Barat 41116"
KUTAWALUYA,MAKAM KI BAGUS RANGIN,"-6.188946666847107, 107.34342335092619",Budaya,5.0,0,00:00:00,00:03:00,"R86V+C96, Sindangmulya, Kec. Kutawaluya, Karawang, Jawa Barat 41358"
CIBUAYA,CANDI LANANG,"-6.057655734464152, 107.35956226441803",Budaya,4.8,0,08:00:00,17:00:00,"W9R5+WRM, Puspasari, Kec. Pedes, Karawang, Jawa Barat 41353"
LEMAH ABANG,MAQOM SYECH BENTONG,"-6.250103967467451, 107.48193979325407",Budaya,4.7,0,00:00:00,00:01:00,"PFXJ+XQ3, Pulokelapa, Kec. Lemahabang, Karawang, Jawa Barat 41383"
TELAGASARI,SUMUR AWISAN,"-6.273579661464901, 107.40324829325408",Budaya,4.6,0,00:00:00,00:02:00,"PCG3+H7H, Kalibuaya, Kec. Talagasari, Karawang, Jawa Barat 41381"
BATUJAYA,MUSEUM SITUS BATUJAYA,"-6.05611723447934, 107.15717942209012",Budaya,4.6,0,07:30:00,18:00:00,"W5V4+8W Segaran, Karawang, Jawa Barat"
TELUKJAMBE BARAT,SAN DIEGO HILL,"-6.358759377469186, 107.26280932781273",Budaya,4.5,10000,08:30:00,17:00:00,"J7R7+G4 Margakaya, Karawang, Jawa Barat"
BANYUSARI,KAMPUNG SALAPAN,"-6.2999321679773574, 107.55706023558197",Budaya,4.5,0,09:00:00,17:00:00,"PH24+2R Gempol, Karawang, Jawa Barat"
LEMAH ABANG,MAQOM SYECH QURO,"-6.251354862599816, 107.48185276441802",Budaya,4.5,0,00:00:00,00:00:00,"PFXJ+6QX, Kampung Pulobata, Pulokelapa, Kec. Lemahabang, Karawang, Jawa Barat 41383"
BATUJAYA,SITUS CANDI JIWA,"-6.057057341291541, 107.15467290674592",Budaya,4.5,5000,08:00:00,17:00:00,"W5V3+5V Segaran, Karawang, Jawa Barat"
BATUJAYA,SITUS CANDI BLANDONGAN,"-6.055678479323421, 107.15343643372962",Budaya,4.5,5000,08:00:00,17:01:00,"W5V3+QC Segaran, Karawang, Jawa Barat"
PAKISJAYA,SITUS TELAGAJAYA,"-6.054334886334987, 107.14987546205347",Budaya,4.5,5000,08:00:00,17:00:00,"W5V2+H9R, Telukbuyung, Kec. Pakisjaya, Karawang, Jawa Barat 41355"
CILAMAYA,MAKAM SINGAPERBANGSA,"-6.20505379897063, 107.48809143558196",Budaya,4.4,0,00:00:00,00:00:00,"QFVQ+X6Q, Sumurgede, Kec. Cilamaya Kulon, Karawang, Jawa Barat 41384"
TELUKJAMBE TIMUR,KAMPUNG BUDAYA,"-6.330790688345957, 107.27696183162996",Budaya,4.0,25000,00:00:00,00:00:00,"M7CH+35 Wadas, Karawang, Jawa Barat"
RENGASDENGKLOK,MONUMEN KEBULATAN TEKAD,"-6.1570700665261775, 107.2888917067459",Sejarah,4.6,0,08:00:00,16:00:00,"R7VQ+5H7, Jalan Raya, South Rengasdengklok, Rengasdengklok, Karawang, West Java 41352"
RENGASDENGKLOK,RUMAH DJAUW KIE SONG,"-6.156203700447867, 107.29036119325237",Sejarah,4.6,0,08:00:00,16:00:00,"R7VR+8GG, Jl. Perintis Kemerdekaan No.33, R.Dengklok Utara, Kec. R.Dengklok, Karawang, Jawa Barat 41352"
TELAGASARI,TUGU PROKLAMASI,"-6.157901866534535, 107.28971709325407",Sejarah,4.5,0,00:00:00,00:00:00,"R7RQ+RVP, Unnamed Road, R.Dengklok Sel., Kec. R.Dengklok, Karawang, Jawa Barat 41352"
CIAMPEL,BENDUNGAN WALHAR,"-6.38341323115935, 107.36109303558196",Sejarah,4.2,0,00:00:00,00:00:00,"J986+JCQ, Kutapohaci, Kec. Ciampel, Karawang, Jawa Barat 41363"
CIBUAYA,DANAU CINTA,"-6.386087893394676, 107.36153260674591",Tirta,4.6,0,11:00:00,22:00:00,"J976+JM Kutapohaci, Karawang, Jawa Barat"
RAWAMERTA,KOLAM TIRTA PITU MULANG,"-6.238435063257723, 107.32736026441802",Tirta,4.6,20000,08:00:00,15:30:00,"Q86G+JW Balongsari, Karawang, Jawa Barat"
CIBUAYA,TAMAN HUD-HUD,"-6.181210233230976, 107.29258302209011",Tirta,4.5,30000,08:30:00,17:00:00,"R79V+G27, Jl. Proklamasi, Amansari, dusun sasak rengasdengklok, Karawang, Jawa Barat 41352"
TEGALWARU,WATERBOOM KAMPUNG TURIS,"-6.545187506179949, 107.23437036441632",Tirta,4.4,40000,09:00:00,20:00:00,"F63M+WP Mekarbuana, Karawang, Jawa Barat"
TEGALWARU,WATERBOOM CIBONTENG,"-6.530513648053251, 107.24017740674593",Tirta,4.4,20000,07:00:00,19:00:00,"F69R+R34, Cintalaksana, Kec. Tegalwaru, Karawang, Jawa Barat 41362"
CIAMPEL,SITU CIPULE,"-6.414561686661607, 107.36454427301629",Tirta,4.4,5000,00:00:00,00:00:00,"H9P7+FVF, Mulyasari, Kec. Ciampel, Karawang, Jawa Barat"
TELUK JAMBE TIMUR,TARUMA LEISURE WATERPARK,"-6.3063592845688525, 107.27909720674592",Tirta,4.3,60000,08:00:00,18:00:00,"M7VH+CJ Sukamakmur, Karawang, Jawa Barat"
TELUK JAMBE TIMUR,WONDERLAND WATERPARK,"-6.3264086682499405, 107.29082717790986",Tirta,4.3,85000,09:00:00,17:00:00,"M7FR+C8 Telukjambe, Karawang, Jawa Barat"
TEGALWARU,WATERBOOM EMPANG SARI,"-6.538368827578265, 107.23449750790749",Tirta,4.2,30000,08:00:00,19:00:00,"F66M+JW6, Mekarbuana, Kec. Tegalwaru, Karawang, Jawa Barat 41362"
CIKAMPEK,SITU KAMOJING,"-6.434017342368519, 107.44942294232789",Tirta,4.2,0,00:00:00,00:00:00,"Kamojing, Kec. Cikampek, Karawang, Jawa Barat"
KLARI,TAMAN OMBAK,"-6.35713760570341, 107.38091086441803",Tirta,4.2,25000,08:00:00,17:00:00,"J9VJ+49J, Jl. Utama De' Keraton, Pancawati, Kec. Klari, Karawang, Jawa Barat 41371"
TEGALWARU,BUANA TIRTA,"-6.5426249436023385, 107.23491396406897",Tirta,3.7,10000,08:00:00,16:00:00,"F66M+5XM, Jl. BBI, Desa Mekar Buana, Kp. Parakan Badak, Kab. Karawang, Mekarbuana, Kec. Tegalwaru, Karawang, Jawa Barat 41362"
